Site,Name,Pleiades
ID-GIVEN-TO,Astakos,511169
urn:cite:ptolemy:lonlat.pt_ll_2247,Androu nÄ“sou ho prosormos in achaea,589692
urn:cite:ptolemy:lonlat.pt_ll_2248,Androu nÄ“sou hÄ“ polis in achaea,590097
urn:cite:ptolemy:lonlat.pt_ll_2249,TÄ“nou nÄ“sou hÄ“ polis in achaea,590073
urn:cite:ptolemy:lonlat.pt_ll_2250,Surou nÄ“sou hÄ“ polis in achaea,590067
urn:cite:ptolemy:lonlat.pt_ll_2251,DÄ“lou nÄ“sou hÄ“ polis in achaea,599596
urn:cite:ptolemy:lonlat.pt_ll_2252,ÅŒliaros in achaea,589958
ID-GIVEN-TO,Kuthnos_in_achea,x
ID-GIVEN-TO,Rhene_in_achaea,599918
ID-GIVEN-TO,Phorbia_akra_in_achaea,599886
ID-GIVEN-TO,Mukonou_he_polis_in_achaea,x
ID-GIVEN-To,Naxou_nesou_he_polis_in_achaea,874619
ID-GIVEN-TO,Parou-nesou-he-polis-in-achaea,x
urn:cite:ptolemy:lonlat.pt_ll_2259,Sounion,599943
urn:cite:ptolemy:lonlat.pt_ll_2260,Siphnos,590049
urn:cite:ptolemy:lonlat.pt_ll_2261,Seriphos,x
urn:cite:ptolemy:lonlat.pt_ll_2262,Pholegandros,589996
urn:cite:ptolemy:lonlat.pt_ll_2263,Sikinos,590047
